Symbol,StartTime,EndTime,"Trades Timestamp","Trades Quantity","Trades Price","Trades Exchange","Trades MarketCenter","Trades SubMarketCenter","Trades TRDI","Trades CanceledIndicator","Trades DOTT","Trades ITY","Trades MSN","Trades OMSN",Outcome,Message,Identity,Delay,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:30:00.050",6820,23.98,"The NASDAQ Stock Market LLC",Q," ","@O X",,F,Q,2059,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:30:00.053",6820,23.98,"The NASDAQ Stock Market LLC",Q," ",Q,,F,Q,2065,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:30:00.377",500,23.96,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,2606,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:30:00.393",200,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,2633,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:30:03.493",211,23.94,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,3525,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:30:03.533",200,23.93,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,3533,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:30:03.763",100,23.94,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,3632,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:30:03.767",100,24,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,3643,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:30:16.473",100,23.93,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,5159,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:30:23.267",107,23.93,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,5772,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:30:38.593",100,23.94,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,7064,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:30:54.133",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,8271,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:31:58.187",100,23.9,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,14700,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:32:50.400",100,23.9,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,19113,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:32:50.403",100,23.9,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,19115,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:32:55.500",100,23.92,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,19408,0,Success,,Cookie,0.0312,
